N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.5,0.25,6,5,2.96875,5.28125,2.3125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.15625,5.90625,4.046875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,6.15625,6.53125,4.78125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,5.9375,7.34375,4.984375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,6.28125,6.5,4.640625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.40625,7.03125,5.65625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,2.6875,4.4375,4.328125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,3.34375,6.78125,3.03125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.6875,5.5625,3.90625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,3.03125,5.5,2.71875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.125,5.53125,4.09375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,6.46875,6.46875,6.46875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.6875,5.15625,5.046875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,6.21875,5.96875,5.84375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.90625,5.40625,3.796875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.71875,5.5625,5.71875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,3.90625,5.46875,2.625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,3.15625,5.5,3.59375,4.0,0.5,4.0
